"city","country","region","host","telegram","CITY-REGISTARTION-LINK","Party-Drive-Link","coordinates"
"Faryab","Afghanistan","Middle East","","","https://app.unlock-protocol.com/event/global-pizza-party-faryab-1","","[64.905955,36.0795613]"
"Kabul","Afghanistan","Middle East","","WhatsApp","https://app.unlock-protocol.com/event/global-pizza-party-kabul","","[69.207486,34.5553494]"
"Mazar-e-Sharif","Afghanistan","Middle East","","https://t.me/+Q8ChxoCFslAzMzFh","https://app.unlock-protocol.com/event/global-pizza-party-mazar-e-sharif","","[67.1138395,36.7062182]"
"Sheberghan","Afghanistan","Middle East","","","https://app.unlock-protocol.com/event/global-pizza-party-sheberghan","","[65.7490624,36.6817149]"
"Tirana","Albania","Eastern Europe","https://t.me/Tahear92","https://t.me/+De-WOUKfhihlYmVk","https://app.unlock-protocol.com/event/global-pizza-party-tirana-4","https://drive.google.com/drive/folders/1ri7WX4-x1YB5Tmkclik4rPgvbqgqXGsv","[19.8186982,41.3275459]"
"Antigua","Antigua","Central America","","https://t.me/+WBvUDAd8CY9kOWFh","https://app.unlock-protocol.com/event/global-pizza-party-near-antigua-1","","[-61.796428,17.060816]"
"Buenos Aires","Argentina","South America","https://x.com/Musica_W3","https://t.me/+Am905YSPAo1jMTkx","https://app.unlock-protocol.com/event/global-pizza-party-buenos-aires","https://drive.google.com/drive/folders/1jyJ2XrTWCaRaG6doao3-HxAWcgh2VNf1?usp=drive_link","[-58.3821215,-34.6036739]"
"Córdoba","Argentina","South America","https://x.com/alesarramea2","https://t.me/+oK58UluVeuFhZjgx","https://app.unlock-protocol.com/event/global-pizza-party-crdoba-10","https://drive.google.com/drive/folders/1I0-ZM5sNh0ajsTMo4lBx611Ah39TiNp5?usp=drive_link","[-64.1887761,-31.4200833]"
"Gualeguaychú Entre Ríos","Argentina","South America","https://x.com/MimiBlockchain","https://t.me/+kK8avIREGho1MWQ5","https://app.unlock-protocol.com/event/global-pizza-party-gualeguaych-entre-ros","https://drive.google.com/drive/folders/1vk88RnS8qXRJeDJmRDvLH8vYl24hFQbv?usp=drive_link","[-58.5285175,-33.0093109]"
"La Plata","Argentina","South America","https://x.com/CriptoLaPlata_","https://t.me/+tPDvp05Fw0BmYzZh","https://app.unlock-protocol.com/event/global-pizza-party-la-plata-2025","https://drive.google.com/drive/folders/1_Y6AssMuuPORomFEYvihBdlbMzqaHcy2?usp=drive_link","[-57.9535657,-34.9204948]"
"Mendoza","Argentina","South America","https://x.com/juanlencioni","https://t.me/+aM2DNNqo31VkZTc5","https://app.unlock-protocol.com/event/global-pizza-party-mendoza","https://drive.google.com/drive/folders/1rqdSTucwlvRs4WGsawxQgPg6yLE3F_c_?usp=drive_link","[-68.8458386,-32.8894587]"
"Misiones","Argentina","South America","https://x.com/braian_javierA","https://t.me/+yISwTIJCl0QxYjcx","https://app.unlock-protocol.com/event/global-pizza-party-misiones","https://drive.google.com/drive/folders/1z-_SWDwz33sL32YkGecju09w4oV4wTDP?usp=drive_link","[-54.4342138,-26.9377146]"
